USERID,CUSTOM_DOUBLE1,ENDATE,CUSTOM_DOUBLE2,CUSTOM_DOUBLE3,START_DATE,PAY_GROUP,EVENT_REASON,CUSTOMSTRING21,CUSTOMSTRING22,CUSTOMSTRING23,
30000342            ,,,,,03/08/2017,P1,99P1,,,,
30000343            ,,,,,03/08/2017,P1,99P1,,,,
30000344            ,,,,,03/08/2017,P1,99P1,,,,
30000345            ,,,,,03/08/2017,P1,99P1,,,,
30000346            ,,,,,03/08/2017,P1,99P1,,,,
30000347            ,,,,,03/08/2017,P1,99P1,,,,
30000348            ,,,,,03/08/2017,P1,99P1,,,,
30000349            ,,,,,03/08/2017,P1,99P1,,,,
30000350            ,,,,,03/08/2017,P1,99P1,,,,
30000351            ,,,,,03/08/2017,P1,99P1,,,,
30000352            ,,,,,03/08/2017,P1,99P1,,,,
30000353            ,,,,,03/08/2017,P1,99P1,,,,
30000354            ,,,,,03/08/2017,P1,99P1,,,,
30000355            ,,,,,03/08/2017,P1,99P1,,,,
30000356            ,,,,,03/08/2017,P1,99P1,,,,
30000357            ,,,,,03/08/2017,P1,99P1,,,,
30000358            ,,,,,03/08/2017,P1,99P1,,,,
30000359            ,,,,,03/08/2017,P1,99P1,,,,
30000361            ,,,,,03/08/2017,P1,99P1,,,,
30000362            ,,,,,03/08/2017,P1,99P1,,,,
30000363            ,,,,,03/08/2017,P1,99P1,,,,
30000364            ,,,,,03/08/2017,P1,99P1,,,,
30000365            ,,,,,03/08/2017,P1,99P1,,,,
30000366            ,,,,,03/08/2017,P1,99P1,,,,
30000367            ,,,,,03/08/2017,P1,99P1,,,,
30000368            ,,,,,03/08/2017,P1,99P1,,,,
30000369            ,,,,,03/08/2017,P1,99P1,,,,
30000370            ,,,,,03/08/2017,P1,99P1,,,,
30000371            ,,,,,03/08/2017,P1,99P1,,,,
30000372            ,,,,,03/08/2017,P1,99P1,,,,
30000373            ,,,,,03/08/2017,P1,99P1,,,,
30000374            ,,,,,03/08/2017,P1,99P1,,,,
30000375            ,,,,,03/08/2017,P1,99P1,,,,
30000376            ,,,,,03/08/2017,P1,99P1,,,,
30000377            ,,,,,03/08/2017,P1,99P1,,,,
30000378            ,,,,,03/08/2017,P1,99P1,,,,
30000379            ,,,,,03/08/2017,P1,99P1,,,,
30000380            ,,,,,03/08/2017,P1,99P1,,,,
30000381            ,,,,,03/08/2017,P1,99P1,,,,
30000382            ,,,,,03/08/2017,P1,99P1,,,,
30000383            ,,,,,03/08/2017,P1,99P1,,,,
30000384            ,,,,,03/08/2017,P1,99P1,,,,
30000385            ,,,,,03/08/2017,P1,99P1,,,,
30000386            ,,,,,03/08/2017,P1,99P1,,,,
30000387            ,,,,,03/08/2017,P1,99P1,,,,
30000388            ,,,,,03/08/2017,P1,99P1,,,,
30000391            ,,,,,03/08/2017,P1,99P1,,,,
30000392            ,,,,,03/08/2017,P1,99P1,,,,
30000393            ,,,,,03/08/2017,P1,99P1,,,,
30000395            ,,,,,03/08/2017,P1,99P1,,,,
30000397            ,,,,,03/08/2017,P1,99P1,,,,
30000398            ,,,,,03/08/2017,P1,99P1,,,,
30000399            ,,,,,03/08/2017,P1,99P1,,,,
30000400            ,,,,,03/08/2017,P1,99P1,,,,
30000401            ,,,,,03/08/2017,P1,99P1,,,,
30000402            ,,,,,03/08/2017,P1,99P1,,,,
30000403            ,,,,,03/08/2017,P1,99P1,,,,
30000404            ,,,,,03/08/2017,P1,99P1,,,,
30000406            ,,,,,03/08/2017,P1,99P1,,,,
30000407            ,,,,,03/08/2017,P1,99P1,,,,
30000408            ,,,,,03/08/2017,P1,99P1,,,,
30000409            ,,,,,03/08/2017,P1,99P1,,,,
30000410            ,,,,,03/08/2017,P1,99P1,,,,
30000411            ,,,,,03/08/2017,P1,99P1,,,,
30000412            ,,,,,03/08/2017,P1,99P1,,,,
30000413            ,,,,,03/08/2017,P1,99P1,,,,
30000414            ,,,,,03/08/2017,P1,99P1,,,,
30000415            ,,,,,03/08/2017,P1,99P1,,,,
30000416            ,,,,,03/08/2017,P1,99P1,,,,
30000418            ,,,,,03/08/2017,P1,99P1,,,,
30000419            ,,,,,03/08/2017,P1,99P1,,,,
30000420            ,,,,,03/08/2017,P1,99P1,,,,
30000421            ,,,,,03/08/2017,P1,99P1,,,,
30000422            ,,,,,03/08/2017,P1,99P1,,,,
30000423            ,,,,,03/08/2017,P1,99P1,,,,
30000424            ,,,,,03/08/2017,P1,99P1,,,,
30000425            ,,,,,03/08/2017,P1,99P1,,,,
30000426            ,,,,,03/08/2017,P1,99P1,,,,
30000427            ,,,,,03/08/2017,P1,99P1,,,,
30000428            ,,,,,03/08/2017,P1,99P1,,,,
30000429            ,,,,,03/08/2017,P1,99P1,,,,
30000430            ,,,,,03/08/2017,P1,99P1,,,,
30000431            ,,,,,03/08/2017,P1,99P1,,,,
30000432            ,,,,,03/08/2017,P1,99P1,,,,
30000433            ,,,,,03/08/2017,P1,99P1,,,,
30000434            ,,,,,03/08/2017,P1,99P1,,,,
30000435            ,,,,,03/08/2017,P1,99P1,,,,
30000436            ,,,,,03/08/2017,P1,99P1,,,,
30000437            ,,,,,03/08/2017,P1,99P1,,,,
30000438            ,,,,,03/08/2017,P1,99P1,,,,
30000439            ,,,,,03/08/2017,P1,99P1,,,,
30000440            ,,,,,03/08/2017,P1,99P1,,,,
30000441            ,,,,,03/08/2017,P1,99P1,,,,
30000442            ,,,,,03/08/2017,P1,99P1,,,,
30000443            ,,,,,03/08/2017,P1,99P1,,,,
30000444            ,,,,,03/08/2017,P1,99P1,,,,
30000445            ,,,,,03/08/2017,P1,99P1,,,,
30000446            ,,,,,03/08/2017,P1,99P1,,,,
30000447            ,,,,,03/08/2017,P1,99P1,,,,
30000448            ,,,,,03/08/2017,P1,99P1,,,,
30000449            ,,,,,03/08/2017,P1,99P1,,,,
30000450            ,,,,,03/08/2017,P1,99P1,,,,
30000451            ,,,,,03/08/2017,P1,99P1,,,,
30000452            ,,,,,03/08/2017,P1,99P1,,,,
30000453            ,,,,,03/08/2017,P1,99P1,,,,
30000454            ,,,,,03/08/2017,P1,99P1,,,,
30000455            ,,,,,03/08/2017,P1,99P1,,,,
30000456            ,,,,,03/08/2017,P1,99P1,,,,
30000457            ,,,,,03/08/2017,P1,99P1,,,,
30000458            ,,,,,03/08/2017,P1,99P1,,,,
30000459            ,,,,,03/08/2017,P1,99P1,,,,
30000460            ,,,,,03/08/2017,P1,99P1,,,,
30000461            ,,,,,03/08/2017,P1,99P1,,,,
30000462            ,,,,,03/08/2017,P1,99P1,,,,
30000463            ,,,,,03/08/2017,P1,99P1,,,,
30000464            ,,,,,03/08/2017,P1,99P1,,,,
30000465            ,,,,,03/08/2017,P1,99P1,,,,
30000466            ,,,,,03/08/2017,P1,99P1,,,,
30000467            ,,,,,03/08/2017,P1,99P1,,,,
30000468            ,,,,,03/08/2017,P1,99P1,,,,
30000469            ,,,,,03/08/2017,P1,99P1,,,,
30000470            ,,,,,03/08/2017,P1,99P1,,,,
30000471            ,,,,,03/08/2017,P1,99P1,,,,
30000472            ,,,,,03/08/2017,P1,99P1,,,,
30000473            ,,,,,03/08/2017,P1,99P1,,,,
30000474            ,,,,,03/08/2017,P1,99P1,,,,
30000475            ,,,,,03/08/2017,P1,99P1,,,,
30000476            ,,,,,03/08/2017,P1,99P1,,,,
30000477            ,,,,,03/08/2017,P1,99P1,,,,
30000478            ,,,,,03/08/2017,P1,99P1,,,,
30000479            ,,,,,03/08/2017,P1,99P1,,,,
30000480            ,,,,,03/08/2017,P1,99P1,,,,
30000481            ,,,,,03/08/2017,P1,99P1,,,,
30000482            ,,,,,03/08/2017,P1,99P1,,,,
30000483            ,,,,,03/08/2017,P1,99P1,,,,
30000484            ,,,,,03/08/2017,P1,99P1,,,,
30000485            ,,,,,03/08/2017,P1,99P1,,,,
30000486            ,,,,,03/08/2017,P1,99P1,,,,
30000487            ,,,,,03/08/2017,P1,99P1,,,,
30000488            ,,,,,03/08/2017,P1,99P1,,,,
30000489            ,,,,,03/08/2017,P1,99P1,,,,
30000490            ,,,,,03/08/2017,P1,99P1,,,,
30000491            ,,,,,03/08/2017,P1,99P1,,,,
30000492            ,,,,,03/08/2017,P1,99P1,,,,
30000493            ,,,,,03/08/2017,P1,99P1,,,,
30000495            ,,,,,03/08/2017,P1,99P1,,,,
30000496            ,,,,,03/08/2017,P1,99P1,,,,
30000497            ,,,,,03/08/2017,P1,99P1,,,,
30000498            ,,,,,03/08/2017,P1,99P1,,,,
30000499            ,,,,,03/08/2017,P1,99P1,,,,
