OPERATOR,WORKER,JOBCOUNTRYCODE,EFECTIVESTARTDATE,
,30000785            ,PER,04/08/2017,
,30000786            ,PER,04/08/2017,
,30000787            ,PER,04/08/2017,
,30000788            ,PER,04/08/2017,
,30000789            ,PER,04/08/2017,
,30000790            ,PER,04/08/2017,
,30000791            ,PER,04/08/2017,
,30000792            ,PER,04/08/2017,
,30000793            ,PER,04/08/2017,
,30000794            ,PER,04/08/2017,
,30000795            ,PER,04/08/2017,
,30000796            ,PER,04/08/2017,
,30000797            ,PER,04/08/2017,
,30000798            ,PER,04/08/2017,
,30000799            ,PER,04/08/2017,
,30000800            ,PER,04/08/2017,
,30000801            ,PER,04/08/2017,
,30000802            ,PER,04/08/2017,
