USERID,STARTDATE,ENDATE,SEQNUMBER,PAYCOMPONENT,PAYCOMPVALUE,CURRENCY_CODE,FREQUENCY,IS_TARGET,NOTES,OPERATION,
30000337            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000338            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000339            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000340            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000341            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000342            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000343            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000344            ,03/08/2017,,,9001,1100.0000,PEN,MON,,,,
30000345            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000346            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000347            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000348            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000349            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000350            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000351            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000352            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000353            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000354            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000355            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000356            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000357            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000358            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000359            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000361            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000362            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000363            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000364            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
